algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,source_csv,dataset
bits (random data),uniform,identity,11,4194304,256,1,256,32,"1,1,1",1,selection,0.012723159,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,12,4194304,256,1,256,32,"1,1,1",1,selection,0.012755608,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,13,4194304,256,1,256,32,"1,1,1",1,selection,0.012741757,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,14,4194304,256,1,256,32,"1,1,1",1,selection,0.012743379,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,15,4194304,256,1,256,32,"1,1,1",1,selection,0.012754065,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,16,4194304,256,1,256,32,"1,1,1",1,selection,0.012726633,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,17,4194304,256,1,256,32,"1,1,1",1,selection,0.012729699,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,18,4194304,256,1,256,32,"1,1,1",1,selection,0.012748497,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,19,4194304,256,1,256,32,"1,1,1",1,selection,0.012741897,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,10,4194304,256,1,256,64,"1,1,1",1,selection,0.07383123199999998,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,11,4194304,256,1,256,64,"1,1,1",1,selection,0.073837832,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,12,4194304,256,1,256,64,"1,1,1",1,selection,0.073849079,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,13,4194304,256,1,256,64,"1,1,1",1,selection,0.073853376,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,14,4194304,256,1,256,64,"1,1,1",1,selection,0.073876351,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,15,4194304,256,1,256,64,"1,1,1",1,selection,0.073846546,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,16,4194304,256,1,256,64,"1,1,1",1,selection,0.07385122299999998,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,17,4194304,256,1,256,64,"1,1,1",1,selection,0.073840266,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,18,4194304,256,1,256,64,"1,1,1",1,selection,0.07386603599999998,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
sort-in-registers (any data),uniform,identity,19,4194304,256,1,256,64,"1,1,1",1,selection,0.073869139,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,10,4194304,256,1,256,64,"1,1,1",1,selection,0.012754396,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,11,4194304,256,1,256,64,"1,1,1",1,selection,0.012726874,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,12,4194304,256,1,256,64,"1,1,1",1,selection,0.012745613,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,13,4194304,256,1,256,64,"1,1,1",1,selection,0.012725752,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,14,4194304,256,1,256,64,"1,1,1",1,selection,0.012739674,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
bits (random data),uniform,identity,15,4194304,256,1,256,64,"1,1,1",1,selection,0.01273048,ampere02,35760917,data/buffer-ampere02-35760917.csv,random
