algorithm,generator,preprocessor,iteration,point_count,query_count,dim,block_size,k,items_per_thread,deg,phase,time,hostname,jobid,dataset
sort-in-registers (any data),uniform,ascending,17,4194304,256,1,128,256,"1,1,1",1,selection,0.051732657,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,18,4194304,256,1,128,256,"1,1,1",1,selection,0.051910738,hopper01,108407,ascending
sort-in-registers (any data),uniform,ascending,19,4194304,256,1,128,256,"1,1,1",1,selection,0.051866461,hopper01,108407,ascending
bits (ascending data),uniform,ascending,10,4194304,256,1,256,256,"1,1,1",1,selection,0.0107409,hopper01,108407,ascending
bits (ascending data),uniform,ascending,11,4194304,256,1,256,256,"1,1,1",1,selection,0.010737666,hopper01,108407,ascending
bits (ascending data),uniform,ascending,12,4194304,256,1,256,256,"1,1,1",1,selection,0.010739438,hopper01,108407,ascending
bits (ascending data),uniform,ascending,13,4194304,256,1,256,256,"1,1,1",1,selection,0.010742333,hopper01,108407,ascending
bits (ascending data),uniform,ascending,14,4194304,256,1,256,256,"1,1,1",1,selection,0.010741771,hopper01,108407,ascending
bits (ascending data),uniform,ascending,15,4194304,256,1,256,256,"1,1,1",1,selection,0.010732448,hopper01,108407,ascending
bits (ascending data),uniform,ascending,16,4194304,256,1,256,256,"1,1,1",1,selection,0.010736093,hopper01,108407,ascending
bits (ascending data),uniform,ascending,17,4194304,256,1,256,256,"1,1,1",1,selection,0.010756243,hopper01,108407,ascending
bits (ascending data),uniform,ascending,18,4194304,256,1,256,256,"1,1,1",1,selection,0.010729482,hopper01,108407,ascending
bits (ascending data),uniform,ascending,19,4194304,256,1,256,256,"1,1,1",1,selection,0.010732928,hopper01,108407,ascending
