k,query_count,point_count,algorithm,dim,time,throughput
32,2048,524288,bits + MAGMA,16,0.007632256700000001,140684710460.5378
32,2048,524288,bits + zero computation,4,0.004692339401590763,228828678427.6491
32,2048,524288,bits + zero computation,8,0.004705149740649225,228205664683.446
32,2048,524288,bits + zero computation,16,0.00471424871876615,227765204607.4116
32,2048,524288,bits-fused,4,0.0029245623999999996,367146149454.70135
32,2048,524288,bits-fused,8,0.0039133417000000005,274379777262.99747
32,2048,524288,bits-fused,16,0.0062341121,172236528117.6128
32,2048,524288,raftL2-fused,4,0.0090651358,118447406380.82884
32,2048,524288,raftL2-fused,8,0.0090070597,119211136571.01662
32,2048,524288,raftL2-fused,16,0.009036044699999999,118828741960.51732
32,4096,262144,bits + MAGMA,4,0.007228018399999999,148552724215.53326
32,4096,262144,bits + MAGMA,8,0.0072741119000000005,147611397619.54996
32,4096,262144,bits + MAGMA,16,0.007529444000000001,142605725469.23782
32,4096,262144,bits + zero computation,4,0.004685577139098837,229158925810.90012
32,4096,262144,bits + zero computation,8,0.004683753515665375,229248149034.47455
32,4096,262144,bits + zero computation,16,0.004700915968798449,228411192866.8335
32,4096,262144,bits-fused,4,0.0024701630999999996,434684585807.3097
32,4096,262144,bits-fused,8,0.0032909014,326275902401.6946
32,4096,262144,bits-fused,16,0.0049366913,217502322658.90317
32,4096,262144,raftL2-fused,4,0.008562848599999999,125395399843.92578
32,4096,262144,raftL2-fused,8,0.008558087399999999,125465162227.71925
32,4096,262144,raftL2-fused,16,0.0085776906,125178427862.62308
32,8192,131072,bits + MAGMA,4,0.0070037002,153310649133.72507
32,8192,131072,bits + MAGMA,8,0.0073287036,146511836554.5579
32,8192,131072,bits + MAGMA,16,0.0074972862,143217398316.74026
32,8192,131072,bits + zero computation,4,0.004683986414890181,229236750257.5634
32,8192,131072,bits + zero computation,8,0.0047074836672480625,228092522438.36172
32,8192,131072,bits + zero computation,16,0.004714420071963824,227756926113.8678
32,8192,131072,bits-fused,4,0.0022669086,473659072094.9226
32,8192,131072,bits-fused,8,0.0028127612,381739418191.6332
32,8192,131072,bits-fused,16,0.0041890894,256318670114.79868
32,8192,131072,raftL2-fused,4,0.0068955195999999995,155715868605.46378
