hostname,GPU,algorithm,point_count,query_count,k,dim,block_size,items_per_thread,items_per_thread2,items_per_thread3,deg,time
hopper01,H100,tiled-dist,1048576,1024,1,16,16,1,1,1,1,0.0093854851
hopper01,H100,tiled-dist,1048576,1024,1,32,16,1,1,1,1,0.0162967949
hopper01,H100,tiled-dist,1048576,1024,1,64,16,1,1,1,1,0.030197805700000004
hopper01,H100,tiled-dist,1048576,1024,1,128,32,1,1,1,1,0.0573564175
hopper01,H100,tiled-dist,1048576,1024,1,256,32,1,1,1,1,0.1100577412
volta05,V100,baseline-dist,131072,8192,1,4,256,1,1,1,1,0.0099961679
volta05,V100,baseline-dist,131072,8192,1,8,256,1,1,1,1,0.0145769278
volta05,V100,baseline-dist,131072,8192,1,16,256,1,1,1,1,0.0873807368
volta05,V100,baseline-dist,131072,8192,1,32,256,1,1,1,1,0.17878707030000002
volta05,V100,baseline-dist,131072,8192,1,64,256,1,1,1,1,0.3428319225
volta05,V100,baseline-dist,131072,8192,1,128,256,1,1,1,1,0.6731075185
volta05,V100,baseline-dist,131072,8192,1,256,256,1,1,1,1,1.3139511928
volta05,V100,baseline-dist,262144,4096,1,4,128,1,1,1,1,0.0155780961
volta05,V100,baseline-dist,262144,4096,1,8,256,1,1,1,1,0.0498723462
volta05,V100,baseline-dist,262144,4096,1,16,256,1,1,1,1,0.0944725176
volta05,V100,baseline-dist,262144,4096,1,32,256,1,1,1,1,0.1783935566
volta05,V100,baseline-dist,262144,4096,1,64,256,1,1,1,1,0.3424355293
volta05,V100,baseline-dist,262144,4096,1,128,256,1,1,1,1,0.6642266220999999
volta05,V100,baseline-dist,262144,4096,1,256,512,1,1,1,1,1.3072537831
volta05,V100,baseline-dist,524288,2048,1,4,256,1,1,1,1,0.027954539700000003
volta05,V100,baseline-dist,524288,2048,1,8,256,1,1,1,1,0.0508344601
volta05,V100,baseline-dist,524288,2048,1,16,256,1,1,1,1,0.0937764924
volta05,V100,baseline-dist,524288,2048,1,32,256,1,1,1,1,0.1784831181
volta05,V100,baseline-dist,524288,2048,1,64,256,1,1,1,1,0.3424426181
volta05,V100,baseline-dist,524288,2048,1,128,256,1,1,1,1,0.671809042
volta05,V100,baseline-dist,524288,2048,1,256,256,1,1,1,1,1.319832294
volta05,V100,baseline-dist,1048576,1024,1,4,256,1,1,1,1,0.0280570697
volta05,V100,baseline-dist,1048576,1024,1,8,256,1,1,1,1,0.050702062000000006
volta05,V100,baseline-dist,1048576,1024,1,16,256,1,1,1,1,0.0937277248
volta05,V100,baseline-dist,1048576,1024,1,32,256,1,1,1,1,0.17734069130000002
volta05,V100,baseline-dist,1048576,1024,1,64,256,1,1,1,1,0.3436423974
volta05,V100,baseline-dist,1048576,1024,1,128,256,1,1,1,1,0.6717045319999999
volta05,V100,baseline-dist,1048576,1024,1,256,256,1,1,1,1,1.3280681006
volta05,V100,cublas-dist,131072,8192,1,4,512,1,1,1,1,0.023840062000000002
volta05,V100,cublas-dist,131072,8192,1,8,64,1,1,1,1,0.0224381034
volta05,V100,cublas-dist,131072,8192,1,16,256,1,1,1,1,0.0225143741
volta05,V100,cublas-dist,131072,8192,1,32,512,1,1,1,1,0.0227321002
volta05,V100,cublas-dist,131072,8192,1,64,128,1,1,1,1,0.0236083993
volta05,V100,cublas-dist,131072,8192,1,128,256,1,1,1,1,0.0315250784
volta05,V100,cublas-dist,131072,8192,1,256,512,1,1,1,1,0.0506274701
volta05,V100,cublas-dist,262144,4096,1,4,512,1,1,1,1,0.022607551400000002
volta05,V100,cublas-dist,262144,4096,1,8,128,1,1,1,1,0.0228372422
volta05,V100,cublas-dist,262144,4096,1,16,64,1,1,1,1,0.0231420121
volta05,V100,cublas-dist,262144,4096,1,32,256,1,1,1,1,0.022967539500000002
volta05,V100,cublas-dist,262144,4096,1,64,256,1,1,1,1,0.023880791000000002
volta05,V100,cublas-dist,262144,4096,1,128,64,1,1,1,1,0.0318353402
